time	temperature	heat_index	dewpoint	wind_direction	wind_speed	wind_gust	humidity	pressure
20210124 11:55	0.6		-0.7	180.0	5.4	6.7	91.0	994.0
20210124 12:00	0.5		-0.8	180.0	5.4	6.7	91.0	994.0
20210124 12:05	0.6		-0.6	180.0	5.8	7.2	92.0	994.0
20210124 12:10	0.4		-0.9	180.0	4.5	6.7	91.0	994.0
20210124 12:15	0.4		-0.7	180.0	4.5	5.8	92.0	993.9
20210124 12:20	0.5		-0.6	180.0	4.5	5.8	92.0	994.0
20210124 12:25	0.4		-0.7	180.0	4.0	5.4	92.0	993.9
20210124 12:30	0.5		-0.6	158.0	4.0	5.4	92.0	994.0
20210124 12:35	0.7		-0.4	158.0	4.5	5.4	92.0	993.9
20210124 12:40	0.8		-0.5	158.0	4.9	6.3	91.0	993.9
20210124 12:45	0.8		-0.5	158.0	4.9	6.3	91.0	994.0
20210124 12:55	0.7		-0.6	158.0	4.5	5.8	91.0	994.1
20210124 13:00	0.7		-0.6	158.0	4.5	5.4	91.0	994.1
20210124 13:05	0.7		-0.6	158.0	4.9	5.8	91.0	994.0
20210124 13:10	0.8		-0.5	158.0	4.5	5.8	91.0	994.0
20210124 13:15	0.8		-0.5	158.0	4.5	6.3	91.0	994.0
20210124 13:20	0.9		-0.4	158.0	4.5	6.3	91.0	994.1
20210124 13:25	0.9		-0.4	158.0	4.5	5.8	91.0	994.1
20210124 13:30	0.8		-0.5	158.0	4.5	6.3	91.0	994.1
20210124 13:35	0.8		-0.5	158.0	4.5	5.8	91.0	994.2
20210124 13:40	0.8		-0.5	158.0	4.5	5.8	91.0	994.1
20210124 13:45	0.9		-0.4	158.0	4.5	6.3	91.0	994.1
20210124 13:50	0.9		-0.4	158.0	4.9	5.8	91.0	994.1
20210124 14:00	0.9		-0.4	158.0	4.9	5.8	91.0	994.1
20210124 14:05	0.8		-0.5	158.0	4.5	6.3	91.0	994.1
20210124 14:10	0.8		-0.5	158.0	4.5	5.8	91.0	994.1
20210124 14:15	0.8		-0.5	158.0	4.0	5.4	91.0	994.1
20210124 14:20	0.8		-0.5	158.0	4.9	5.8	91.0	994.1
20210124 14:25	0.8		-0.5	158.0	4.5	6.3	91.0	994.0
20210124 14:30	0.8		-0.5	158.0	4.9	6.3	91.0	994.0
20210124 14:35	0.7		-0.6	158.0	4.5	5.8	91.0	994.0
20210124 14:40	0.8		-0.5	158.0	4.9	6.3	91.0	994.0
20210124 14:45	0.8		-0.5	158.0	5.8	6.7	91.0	994.1
20210124 14:50	0.9		-0.4	158.0	5.4	7.2	91.0	994.1
20210124 14:55	0.9		-0.4	158.0	5.8	8.5	91.0	994.2
20210124 15:00	0.9		-0.4	158.0	4.9	6.3	91.0	994.1
20210124 15:05	0.9		-0.4	158.0	4.0	5.8	91.0	994.1
20210124 15:10	0.9		-0.4	158.0	4.0	6.3	91.0	994.1
20210124 15:15	0.9		-0.4	158.0	4.5	6.3	91.0	994.1
20210124 15:20	0.8		-0.5	158.0	4.9	7.2	91.0	994.2
20210124 15:25	0.8		-0.5	158.0	4.0	5.8	91.0	994.1
20210124 15:30	0.8		-0.5	158.0	3.6	5.4	91.0	994.1
20210124 15:35	0.8		-0.5	158.0	3.6	4.9	91.0	994.2
20210124 15:40	0.8		-0.5	158.0	4.5	7.2	91.0	994.2
20210124 15:45	0.8		-0.5	158.0	4.5	6.3	91.0	994.2
20210124 15:50	0.8		-0.5	158.0	4.0	5.8	91.0	994.3
20210124 15:55	0.7		-0.6	158.0	4.0	5.8	91.0	994.3
20210124 16:00	0.7		-0.6	158.0	3.6	4.9	91.0	994.3
20210124 16:10	0.7		-0.6	135.0	2.7	4.9	91.0	994.3
20210124 16:20	0.6		-0.7	135.0	3.1	5.4	91.0	994.4
